idno,nwspol,netusoft,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstun,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,clsprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,mnrgtjb,freehms,hmsfmlsh,hmsacld,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgblg,rlgdgr,rlgatnd,pray,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,brncntr,blgetmg,facntr,mocntr,gvrfgap,rfgbfml,eneffap,rdcenr,cflsenr,elgcoal,elghydr,elgnuc,elgsun,elgwind,elgbio,wrpwrct,wrenexp,wrdpimp,wrdpfos,wrntdis,wrinspw,wrtcfl,wrtratc,clmchng,clmthgt2,ccnthum,ccrdprs,wrclmch,ccgdbd,lkredcc,lklmten,gvsrdcc,ownrdcc,inctxff,sbsrnen,banhhap,dfincac,smdfslv,uemplwk,slvpens,slvuemp,gvslvol,gvslvue,gvcldcr,sbstrec,sbprvpv,sbeqsoc,sbbsntx,sblazy,sblwcoa,imsclbn,uentrjb,bnlwinc,lkuemp,lknemny,vteurmmb,hhmmb,gndr,agea,icpart1,dvrcdeva,maritalb,chldhm,domicil,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,emplrel,estsz,jbspv,wkdcorga,iorgact,wkhct,wkhtot,tporgwk,wrkac6m,uemp3m,mbtru,hincsrca,hinctnta,hincfel,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,emprf14,emprm14,atncrse,anctry1,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,region,neverwork,occgrp,industry,votesd
14,20,1. Never,7,7,5,3,2,2,2,2,5,5,5,3,3,5,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,6,7,5,7,7,7,8,2,5,2,3,2,2,3,2,6,6,5,8,5. Once a week,3. 3,2,0. No,2,1,1,8,4,1. Yes,7,7. Never,2. More than once a week,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,6,5,4,3,3,3,2,3,4,2,3,2,4,3,3,3,3,3,2,5,4,2,5,7,6,5,7,4,2,3,3,4,9. 40-44,8,4,7,6,6,3,2,2,2,1,2,3,5,3,55,1,1. Remain member of the European Union,1,0. No,90,0. No,1. Yes,5. Widowed/civil partner died,0. No,3. Town or small city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,4. 100 to 499,0. No,8,7,40,40,4. A private firm,0. No,0. No,"2. Yes, previously",4. Pensions,2nd decile,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,2. Self-employed,3. Not working,0. No,12060. Swedish nfs,3,6,1,3,2,4,2,1,3,4,3,1,4,6,2,2,3,4,1,1,2,18. SE321,0,3. Technicians,3. Manufacturing,0
48,480,1. Never,8,7,8,2,3,2,3,2,8,7,9,7,8,9,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,4,5,6,4,8,8,5,2,5,1,5,2,1,1,1,7,8,7,8,4. Several times a month,5. 7-9,3,0. No,2,3,1,9,8,1. Yes,8,4. At least once a month,2. More than once a week,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,8,3,5,5,1,4,2,3,3,3,3,4,3,2,3,4,4,1,3,4,7,3,4,8,6,5,6,3,2,2,3,2,5. 20-24,5,4,8,8,9,3,2,2,3,4,4,2,4,2,55,3,1. Remain member of the European Union,1,0. No,90,0. No,0. No,5. Widowed/civil partner died,0. No,2. Suburbs or outskirts of big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,0. No,1. Employee,3. 25 to 99,0. No,8,4,40,40,4. A private firm,0. No,0. No,"2. Yes, previously",4. Pensions,2nd decile,3,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. Not working,0. No,12060. Swedish nfs,4,4,2,4,5,4,2,1,4,4,2,3,4,3,5,3,4,2,3,2,2,1. SE110,0,4. Clerical,3. Manufacturing,0
64,180,1. Never,6,8,7,2,1,3,1,3,5,5,8,5,5,5,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,5,8,6,7,6,9,9,1,3,2,5,3,3,3,3,5,8,8,5,5. Once a week,0. None,1,0. No,3,3,1,10,7,0. No,3,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,0. No,4,5,8,5,0,4,3,3,1,3,4,2,4,4,4,4,2,3,3,2,4,1,5,2,5,5,5,2,5,5,2,5,3,1,8. 35-39,4,8,10,10,6,3,2,3,2,1,1,4,2,4,55,2,1. Remain member of the European Union,1,0. No,89,0. No,0. No,5. Widowed/civil partner died,0. No,5. Farm or home in countryside,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,1. Under 10,1. Yes,10,5,40,40,1. Central or local government,0. No,0. No,3. No,4. Pensions,2nd decile,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,4. Father dead/absent,2. Self-employed,0. No,12060. Swedish nfs,6,5,3,5,3,6,2,2,1,6,2,1,5,2,6,2,1,1,2,3,5,12. SE224,0,5. Services,15. Health and social work,0
75,30,1. Never,5,7,9,3,2,3,2,3,6,5,7,5,7,3,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,6,8,7,5,4,7,7,3,4,1,4,2,2,2,3,6,7,6,7,4. Several times a month,4. 4-6,3,1. Yes,3,3,2,3,5,0. No,0,6. Less often,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,3,8,5,6,3,2,4,2,3,4,2,4,2,2,2,3,2,2,1,3,2,6,2,7,5,7,8,5,4,2,2,3,2,3. 10-14,5,7,4,7,6,3,2,1,4,4,2,3,3,1,55,1,1. Remain member of the European Union,2,1. Yes,89,1. Yes,0. No,1. Legally married,0. No,4. Country village,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,5. 500 or more,1. Yes,10,5,40,45,4. A private firm,0. No,0. No,"2. Yes, previously",4. Pensions,3rd decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,1,3,2,3,4,1,1,1,1,2,1,2,3,1,1,1,1,1,1,2,2,12. SE224,0,3. Technicians,3. Manufacturing,0
77,60,1. Never,8,5,8,4,1,3,1,3,2,6,0,4,4,9,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,0. No,9,9,6,3,3,7,0,1,5,3,2,4,1,1,1,5,7,5,6,6. Several times a week,3. 3,3,1. Yes,1,3,2,5,5,0. No,2,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,3,10,5,5,5,2,5,1,2,2,3,3,3,3,3,3,3,3,1,3,5,6,3,0,7,5,4,6,1,1,1,4,1,6. 25-29,1,3,6,6,8,2,1,2,4,2,2,3,2,2,55,2,1. Remain member of the European Union,1,1. Yes,88,0. No,0. No,5. Widowed/civil partner died,0. No,4. Country village,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,3. Working for own family business,1. Under 10,1. Yes,10,10,70,70,5. Self employed,0. No,0. No,3. No,4. Pensions,1st decile,2,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,2. Self-employed,2. Self-employed,0. No,12060. Swedish nfs,2,4,1,4,2,3,2,3,2,4,2,2,2,2,2,2,4,4,2,2,3,8. SE212,0,6. Skilled Agricultural,1. Agriculture etc.,0
79,60,1. Never,10,10,5,2,5,1,1,1,8,3,7,7,10,5,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0,8,4,7,8,4,8,1,3,4,5,4,2,4,2,8,7,6,10,6. Several times a week,4. 4-6,3,0. No,3,3,3,10,4,1. Yes,5,5. Only on special holy days,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,2,10,4,10,5,1,5,3,2,5,1,1,3,2,2,1,2,4,1,1,5,10,3,0,0,5,5,0,5,1,5,3,2,4. 15-19,8,5,7,7,8,2,3,4,3,2,1,3,3,3,1,1,1. Remain member of the European Union,1,1. Yes,88,0. No,0. No,5. Widowed/civil partner died,0. No,2. Suburbs or outskirts of big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,1. Under 10,0. No,8,8,40,40,5. Self employed,0. No,0. No,"2. Yes, previously",4. Pensions,1st decile,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. Not working,0. No,12060. Swedish nfs,1,6,1,2,4,6,2,4,2,5,3,6,2,1,6,4,1,2,6,1,4,12. SE224,0,7. Craft and Trades,3. Manufacturing,0
86,30,1. Never,5,4,6,3,2,2,1,2,3,1,1,2,2,0,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,1,7,2,3,0,0,0,2,4,2,5,1,3,3,2,1,3,2,4,3. Once a month,3. 3,3,1. Yes,3,2,3,10,0,1. Yes,3,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,5,4,4,3,5,3,5,1,5,2,4,5,5,4,4,5,4,5,2,4,3,6,4,0,1,3,0,4,2,4,5,3,2,3. 10-14,1,1,6,6,3,1,2,1,2,1,2,4,2,1,55,2,2. Leave the European Union,1,0. No,88,0. No,1. Yes,5. Widowed/civil partner died,0. No,3. Town or small city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,4. 100 to 499,0. No,3,3,40,40,4. A private firm,0. No,0. No,"1. Yes, currently",4. Pensions,1st decile,2,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. Not working,0. No,12060. Swedish nfs,3,5,5,5,3,5,5,2,5,3,1,3,5,1,5,3,5,2,1,5,4,18. SE321,0,3. Technicians,3. Manufacturing,0
87,60,5. Every day,7,8,5,3,2,2,2,1,4,7,6,4,4,6,0. No,0. No,1. Yes,0. No,0. No,0. No,0. No,0. No,1. Yes,8,10,5,4,6,5,8,4,3,2,3,3,2,2,2,7,7,7,10,6. Several times a week,3. 3,4,0. No,2,1,3,8,8,0. No,1,6. Less often,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,3,9,4,6,4,2,2,3,3,4,2,2,3,2,2,2,2,2,2,3,3,4,2,3,5,4,6,5,3,2,3,2,3,7. 30-34,7,5,6,6,7,3,2,3,2,2,3,3,3,3,2,1,1. Remain member of the European Union,2,1. Yes,88,1. Yes,0. No,1. Legally married,0. No,2. Suburbs or outskirts of big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,2. Self-employed,1. Under 10,1. Yes,9,8,40,0,5. Self employed,0. No,0. No,"2. Yes, previously",4. Pensions,9th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,3. Not working,0. No,12060. Swedish nfs,1,3,2,2,3,1,5,3,5,4,3,3,3,5,3,1,4,2,3,2,1,1. SE110,0,2. Professionals,15. Health and social work,0
95,60,2. Only occasionally,4,6,8,2,3,2,2,2,4,1,4,2,2,6,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,10,10,8,5,5,7,8,2,5,1,4,5,3,3,4,0,5,0,8,6. Several times a week,6. 10 or more,3,0. No,3,3,2,10,6,0. No,8,5. Only on special holy days,4. At least once a month,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,5,4,5,6,0,5,2,2,1,2,3,2,1,3,1,3,1,3,3,2,2,3,6,1,0,6,5,4,3,3,1,5,4,3,3. 10-14,6,4,8,5,8,3,5,2,5,5,2,3,4,1,1,1,2. Leave the European Union,1,0. No,87,0. No,0. No,5. Widowed/civil partner died,0. No,5. Farm or home in countryside,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,3. 25 to 99,0. No,10,1,40,40,1. Central or local government,0. No,0. No,"1. Yes, currently",4. Pensions,2nd decile,2,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,2. Self-employed,2. Self-employed,0. No,12060. Swedish nfs,2,3,2,3,2,1,2,2,1,4,1,1,4,2,5,1,2,1,1,1,1,1. SE110,0,6. Skilled Agricultural,1. Agriculture etc.,0
98,10,4. Most days,7,9,8,2,2,2,1,1,6,8,8,6,6,7,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,6,8,6,7,8,8,6,2,4,2,5,2,1,1,2,6,7,8,8,4. Several times a month,4. 4-6,2,0. No,2,2,2,10,7,1. Yes,6,5. Only on special holy days,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,6,4,5,3,2,4,2,4,2,3,3,4,2,3,3,3,4,2,1,3,4,2,5,7,5,7,6,2,2,2,2,3,3. 10-14,8,5,8,7,9,3,2,2,3,4,4,2,4,2,55,2,1. Remain member of the European Union,2,1. Yes,87,1. Yes,0. No,1. Legally married,0. No,1. A big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,4. 100 to 499,1. Yes,9,6,42,50,4. A private firm,0. No,0. No,"2. Yes, previously",4. Pensions,7th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,4,5,3,5,4,5,2,2,2,3,4,2,5,2,5,2,4,3,2,3,4,12. SE224,0,1. Managers,3. Manufacturing,0
